№;Дата и время;Секунда;Микросекунда
1;2023-04-30 11:22:09.772686;9;772686
2;2023-04-30 11:22:09.791788;9;791788
3;2023-04-30 11:22:09.807380;9;807380
4;2023-04-30 11:22:09.822949;9;822949
5;2023-04-30 11:22:09.838197;9;838197
6;2023-04-30 11:22:09.853862;9;853862
7;2023-04-30 11:22:09.869913;9;869913
8;2023-04-30 11:22:09.885370;9;885370
9;2023-04-30 11:22:09.901240;9;901240
10;2023-04-30 11:22:09.917284;9;917284
11;2023-04-30 11:22:09.933327;9;933327
12;2023-04-30 11:22:09.948779;9;948779
13;2023-04-30 11:22:09.964452;9;964452
14;2023-04-30 11:22:09.979544;9;979544
15;2023-04-30 11:22:09.994807;9;994807
16;2023-04-30 11:22:10.010793;10;10793
17;2023-04-30 11:22:10.025427;10;25427
18;2023-04-30 11:22:10.040575;10;40575
19;2023-04-30 11:22:10.056001;10;56001
20;2023-04-30 11:22:10.072015;10;72015
21;2023-04-30 11:22:10.087438;10;87438
22;2023-04-30 11:22:10.103132;10;103132
23;2023-04-30 11:22:10.118781;10;118781
24;2023-04-30 11:22:10.134713;10;134713
25;2023-04-30 11:22:10.150562;10;150562
26;2023-04-30 11:22:10.165771;10;165771
27;2023-04-30 11:22:10.181296;10;181296
28;2023-04-30 11:22:10.196573;10;196573
29;2023-04-30 11:22:10.211971;10;211971
30;2023-04-30 11:22:10.227377;10;227377
31;2023-04-30 11:22:10.242698;10;242698
32;2023-04-30 11:22:10.258587;10;258587
33;2023-04-30 11:22:10.273791;10;273791
34;2023-04-30 11:22:10.288767;10;288767
35;2023-04-30 11:22:10.303476;10;303476
36;2023-04-30 11:22:10.319156;10;319156
37;2023-04-30 11:22:10.334422;10;334422
38;2023-04-30 11:22:10.350254;10;350254
39;2023-04-30 11:22:10.366092;10;366092
40;2023-04-30 11:22:10.383593;10;383593
41;2023-04-30 11:22:10.399975;10;399975
42;2023-04-30 11:22:10.413344;10;413344
43;2023-04-30 11:22:10.430343;10;430343
44;2023-04-30 11:22:10.444714;10;444714
45;2023-04-30 11:22:10.459824;10;459824
46;2023-04-30 11:22:10.475492;10;475492
47;2023-04-30 11:22:10.491310;10;491310
48;2023-04-30 11:22:10.506574;10;506574
49;2023-04-30 11:22:10.522270;10;522270
50;2023-04-30 11:22:10.538306;10;538306
51;2023-04-30 11:22:10.553484;10;553484
52;2023-04-30 11:22:10.568984;10;568984
53;2023-04-30 11:22:10.584521;10;584521
54;2023-04-30 11:22:10.599791;10;599791
55;2023-04-30 11:22:10.616254;10;616254
56;2023-04-30 11:22:10.633729;10;633729
57;2023-04-30 11:22:10.646756;10;646756
58;2023-04-30 11:22:10.662989;10;662989
59;2023-04-30 11:22:10.678091;10;678091
60;2023-04-30 11:22:10.692291;10;692291
61;2023-04-30 11:22:10.707510;10;707510
62;2023-04-30 11:22:10.723477;10;723477
